rep_id,side,depth_deg,rom_ratio,fppa_peak,fppa_at_depth,trunk_lean_peak,trunk_flex_peak,pelvic_drop_peak,pelvic_shift_peak,hip_adduction_peak,knee_offset_peak,sway_norm,smoothness,errors_count,classification,err_knee_valgus,err_trunk_lean,err_trunk_flex,err_pelvic_drop,err_pelvic_shift,err_hip_adduction,err_knee_over_foot,err_balance,start_frame,bottom_frame,end_frame,duration_ms,confidence
1,left,68.64,0.572,68.64,23.73,13.11,77.17,10.31,0.0154,179.97,0.6350,0.0020,289.485,6,poor,1,1,1,1,0,1,1,0,201,203,256,948,0.856
2,left,165.45,1.379,165.45,154.94,28.05,81.07,6.41,0.0053,175.80,1.3930,0.0015,662.763,6,poor,1,1,1,1,0,1,1,0,456,464,499,752,0.711
3,right,117.88,0.982,117.88,68.05,20.74,78.31,3.42,0.0013,177.70,0.4630,0.0039,940.360,5,poor,1,1,1,0,0,1,1,0,506,509,522,285,0.806
4,left,90.20,0.752,90.20,37.92,8.17,76.73,1.71,0.0006,179.66,0.2622,0.0014,855.635,4,poor,1,0,1,0,0,1,1,0,672,674,680,147,0.787
5,left,124.04,1.034,124.04,122.26,4.97,75.29,8.78,0.0086,166.67,0.4572,0.0063,1250.833,5,poor,1,0,1,1,0,1,1,0,696,699,710,247,0.795
6,left,53.42,0.445,53.42,34.11,0.90,72.61,5.70,0.0016,171.55,0.4115,0.0040,1358.496,5,poor,1,0,1,1,0,1,1,0,714,715,719,89,0.717
7,left,50.16,0.418,50.16,30.05,6.46,78.31,3.80,0.0047,0.00,0.8888,0.0029,614.808,3,fair,1,0,1,0,0,0,1,0,886,888,891,91,0.654
8,left,168.82,1.407,168.82,121.02,9.45,77.77,15.06,0.0224,95.59,0.3556,0.0047,1515.009,5,poor,1,0,1,1,0,1,1,0,892,897,923,540,0.697
9,left,151.41,1.262,151.41,43.01,13.26,66.93,7.19,0.0023,0.00,0.1088,0.0024,2063.625,4,poor,1,1,1,1,0,0,0,0,1103,1104,1110,122,0.760
10,left,157.61,1.313,157.61,13.62,12.76,75.61,6.80,0.0053,0.00,0.1090,0.0019,3527.827,4,poor,1,1,1,1,0,0,0,0,1114,1115,1125,196,0.670
11,left,175.85,1.465,175.85,161.48,11.22,75.61,7.56,0.0047,0.00,0.1031,0.0018,4211.831,4,poor,1,1,1,1,0,0,0,0,1126,1127,1129,58,0.636
12,left,179.63,1.497,179.63,168.96,12.71,76.13,6.65,0.0009,0.00,0.1045,0.0025,4758.297,4,poor,1,1,1,1,0,0,0,0,1131,1133,1134,51,0.619
13,left,104.55,0.871,104.55,28.36,11.65,78.15,5.41,0.0068,173.21,0.5341,0.0026,979.568,6,poor,1,1,1,1,0,1,1,0,1174,1176,1187,229,0.613
14,right,118.38,0.986,118.38,92.01,5.05,76.72,17.15,0.0117,121.55,0.4117,0.0052,809.150,5,poor,1,0,1,1,0,1,1,0,1367,1370,1401,600,0.693
15,left,75.15,0.626,75.15,32.38,18.80,77.22,7.79,0.0126,174.16,0.4503,0.0040,676.975,6,poor,1,1,1,1,0,1,1,0,1581,1582,1607,462,0.655
16,right,66.52,0.554,66.52,54.65,11.94,79.30,17.85,0.0046,0.00,0.5083,0.0031,427.223,5,poor,1,1,1,1,0,0,1,0,1726,1731,1744,313,0.870
17,right,175.17,1.460,175.17,17.11,13.40,79.63,11.46,0.0139,176.99,1.6049,0.0019,1567.429,6,poor,1,1,1,1,0,1,1,0,1746,1747,1831,1529,0.664
18,left,137.29,1.144,137.29,30.19,19.36,78.12,9.20,0.0188,178.52,0.6536,0.0039,1260.888,6,poor,1,1,1,1,0,1,1,0,1986,1987,2027,736,0.733
19,left,51.12,0.426,51.12,46.15,20.59,76.20,8.04,0.0038,0.00,0.7859,0.0033,391.856,5,poor,1,1,1,1,0,0,1,0,2187,2189,2202,278,0.822
20,left,136.30,1.136,136.30,17.83,15.85,77.95,14.46,0.0338,179.81,1.2496,0.0168,1612.598,6,poor,1,1,1,1,0,1,1,0,2206,2207,2244,678,0.879
