rep_id,side,depth_deg,rom_ratio,fppa_peak,fppa_at_depth,trunk_lean_peak,trunk_flex_peak,pelvic_drop_peak,pelvic_shift_peak,hip_adduction_peak,knee_offset_peak,sway_norm,smoothness,errors_count,classification,err_knee_valgus,err_trunk_lean,err_trunk_flex,err_pelvic_drop,err_pelvic_shift,err_hip_adduction,err_knee_over_foot,err_balance,start_frame,bottom_frame,end_frame,duration_ms,confidence
1,left,113.30,0.839,113.30,6.64,5.30,52.47,38.22,0.0283,175.26,2.0845,0.0082,2946.989,5,poor,1,0,1,1,0,1,1,0,100,104,114,652,0.585
2,left,144.46,1.070,144.46,95.30,169.74,168.33,44.25,0.0746,177.53,7.8793,0.0324,2755.061,6,poor,1,1,1,1,0,1,1,0,126,162,169,1466,0.615
1,right,151.37,1.121,151.37,105.61,9.09,54.05,41.13,0.0284,0.00,1.6550,0.0110,1174.304,4,poor,1,0,1,1,0,0,1,0,4,4,19,1431,0.555
2,right,154.49,1.144,154.49,136.49,170.19,162.53,44.97,0.0493,175.67,19.2016,0.0162,3622.739,6,poor,1,1,1,1,0,1,1,0,26,61,72,1145,0.604
3,right,147.50,1.093,147.50,112.60,170.42,167.49,44.97,0.0504,66.09,31.9411,0.0124,2671.106,6,poor,1,1,1,1,0,1,1,0,76,95,149,2281,0.627
1,right,168.25,1.246,168.25,34.07,14.87,62.45,33.48,0.0255,0.00,6.1571,0.0061,3560.233,5,poor,1,1,0,1,0,1,1,0,7,97,119,4255,0.652
2,right,169.13,1.253,169.13,22.58,8.11,60.32,40.52,0.0245,0.00,2.2864,0.0077,3578.557,4,poor,1,0,0,1,1,0,1,0,127,130,147,1313,0.630
