rep_id,side,depth_deg,rom_ratio,fppa_peak,fppa_at_depth,trunk_lean_peak,trunk_flex_peak,pelvic_drop_peak,pelvic_shift_peak,hip_adduction_peak,knee_offset_peak,sway_norm,smoothness,errors_count,classification,err_knee_valgus,err_trunk_lean,err_trunk_flex,err_pelvic_drop,err_pelvic_shift,err_hip_adduction,err_knee_over_foot,err_balance,start_frame,bottom_frame,end_frame,duration_ms,confidence
1,right,82.93,0.691,82.93,78.27,17.14,54.81,35.16,0.0650,171.10,4.8418,0.0250,368.457,6,poor,1,1,1,1,0,1,1,0,104,199,244,2377,0.757
2,right,49.04,0.409,49.04,31.35,6.20,47.96,30.92,0.0169,156.51,3.5639,0.0051,572.271,5,poor,1,0,1,1,0,1,1,0,391,397,407,302,0.762
3,right,90.58,0.755,90.58,69.60,20.09,53.87,43.87,0.0473,146.54,11.5312,0.0245,445.756,6,poor,1,1,1,1,0,1,1,0,412,426,535,2100,0.739
4,right,66.65,0.555,66.65,59.65,17.73,49.00,37.70,0.0803,152.13,4.8397,0.0420,314.179,6,poor,1,1,1,1,0,1,1,0,668,742,792,2071,0.761
5,left,79.88,0.666,79.88,62.44,22.13,57.03,40.25,0.0890,178.01,7.3345,0.0350,378.247,6,poor,1,1,1,1,0,1,1,0,885,1042,1070,3128,0.828
6,right,87.36,0.728,87.36,80.26,18.18,70.37,36.93,0.0437,162.79,4.2174,0.0115,547.490,6,poor,1,1,1,1,0,1,1,0,1221,1319,1344,2152,0.758
7,left,66.27,0.552,66.27,63.57,14.14,68.05,41.51,0.1135,175.03,7.7269,0.0466,296.961,7,poor,1,1,1,1,1,1,1,0,1457,1559,1642,3174,0.917
8,right,76.56,0.638,76.56,63.10,10.30,67.31,43.11,0.0770,130.60,4.5492,0.0312,499.566,6,poor,1,1,1,1,0,1,1,0,1815,1832,1918,1838,0.816
