rep_id,side,depth_deg,rom_ratio,fppa_peak,fppa_at_depth,trunk_lean_peak,trunk_flex_peak,pelvic_drop_peak,pelvic_shift_peak,hip_adduction_peak,knee_offset_peak,sway_norm,smoothness,errors_count,classification,err_knee_valgus,err_trunk_lean,err_trunk_flex,err_pelvic_drop,err_pelvic_shift,err_hip_adduction,err_knee_over_foot,err_balance,start_frame,bottom_frame,end_frame,duration_ms,confidence
1,left,68.70,0.572,68.70,62.70,2.25,73.88,3.85,0.0286,175.93,0.2778,0.0098,221.811,4,poor,1,0,1,0,0,1,1,0,36,65,122,1466,0.973
2,left,47.15,0.393,47.15,40.29,2.01,71.34,2.96,0.0057,173.66,0.3041,0.0018,202.839,4,poor,1,0,1,0,0,1,1,0,228,256,297,1181,0.976
3,left,53.86,0.449,53.86,51.40,1.86,68.57,3.78,0.0071,172.31,0.3120,0.0030,156.351,4,poor,1,0,1,0,0,1,1,0,373,398,440,1167,0.988
4,left,48.15,0.401,48.15,45.42,1.91,70.97,2.75,0.0187,171.01,0.2194,0.0062,121.275,4,poor,1,0,1,0,0,1,1,0,507,534,571,1108,0.984
5,left,52.22,0.435,52.22,52.22,3.72,70.32,2.71,0.0059,166.70,0.1956,0.0020,97.281,3,fair,1,0,1,0,0,1,0,0,639,659,696,992,0.988
6,left,45.60,0.380,45.60,42.87,2.45,71.60,3.04,0.0149,172.55,0.2720,0.0052,100.289,4,poor,1,0,1,0,0,1,1,0,768,794,839,1235,0.981
7,left,72.54,0.605,72.54,53.88,4.51,73.19,3.49,0.0216,174.22,0.2159,0.0089,177.735,4,poor,1,0,1,0,0,1,1,0,961,991,1029,1199,0.974
