rep_id,side,depth_deg,rom_ratio,fppa_peak,fppa_at_depth,trunk_lean_peak,trunk_flex_peak,pelvic_drop_peak,pelvic_shift_peak,hip_adduction_peak,knee_offset_peak,sway_norm,smoothness,errors_count,classification,err_knee_valgus,err_trunk_lean,err_trunk_flex,err_pelvic_drop,err_pelvic_shift,err_hip_adduction,err_knee_over_foot,err_balance,start_frame,bottom_frame,end_frame,duration_ms,confidence
1,right,114.11,0.951,114.11,30.91,3.12,69.87,3.97,0.0147,172.13,0.4814,0.0052,256.131,4,poor,1,0,1,0,0,1,1,0,59,63,148,1532,0.963
2,left,140.64,1.172,140.64,18.79,16.28,76.11,14.18,0.0115,0.00,0.3513,0.0061,590.239,5,poor,1,1,1,1,0,0,1,0,297,298,345,831,0.845
3,left,154.89,1.291,154.89,35.27,7.33,78.80,9.91,0.0112,178.21,0.5892,0.0048,1700.736,5,poor,1,0,1,1,0,1,1,0,535,537,561,475,0.818
4,left,67.70,0.564,67.70,28.72,14.74,78.47,9.08,0.0022,178.41,0.5663,0.0049,1372.565,6,poor,1,1,1,1,0,1,1,0,569,570,584,250,0.555
5,right,123.65,1.030,123.65,75.81,9.41,79.09,17.64,0.0410,177.81,1.6173,0.0028,469.196,5,poor,1,0,1,1,0,1,1,0,778,783,846,1181,0.760
6,left,77.45,0.645,77.45,27.53,19.27,79.30,22.59,0.0243,176.34,0.5950,0.0060,760.489,6,poor,1,1,1,1,0,1,1,0,955,956,982,466,0.739
7,right,173.26,1.444,173.26,107.65,32.28,85.56,23.93,0.0397,179.93,1.1454,0.0186,1086.488,6,poor,1,1,1,1,0,1,1,0,983,987,1037,932,0.609
8,left,150.49,1.254,150.49,39.97,0.64,71.96,7.39,0.0035,179.65,0.3149,0.0026,1848.061,5,poor,1,0,1,1,0,1,1,0,1175,1180,1194,329,0.871
9,left,61.82,0.515,61.82,24.07,5.40,70.39,8.97,0.0186,178.85,0.4358,0.0076,323.610,5,poor,1,0,1,1,0,1,1,0,1231,1232,1268,645,0.940
10,right,150.86,1.257,150.86,25.19,2.81,62.32,4.62,0.0042,178.58,0.5008,0.0009,1264.159,4,poor,1,0,1,0,0,1,1,0,1498,1499,1525,481,0.888
11,left,115.84,0.965,115.84,32.66,28.81,73.05,22.76,0.0525,0.00,1.1675,0.0108,766.955,5,poor,1,1,1,1,0,0,1,0,1886,1887,1934,862,0.826
12,left,48.94,0.408,48.94,23.73,6.77,74.62,9.99,0.0171,176.90,1.0388,0.0112,438.207,5,poor,1,0,1,1,0,1,1,0,1967,1970,1974,115,0.810
13,left,126.41,1.053,126.41,91.69,7.26,81.71,10.66,0.0111,177.58,0.4111,0.0038,866.146,5,poor,1,0,1,1,0,1,1,0,1989,1993,2020,549,0.846
