rep_id,side,depth_deg,rom_ratio,fppa_peak,fppa_at_depth,trunk_lean_peak,trunk_flex_peak,pelvic_drop_peak,pelvic_shift_peak,hip_adduction_peak,knee_offset_peak,sway_norm,smoothness,errors_count,classification,err_knee_valgus,err_trunk_lean,err_trunk_flex,err_pelvic_drop,err_pelvic_shift,err_hip_adduction,err_knee_over_foot,err_balance,start_frame,bottom_frame,end_frame,duration_ms,confidence
1,left,139.07,1.030,139.07,61.58,15.66,79.05,19.09,0.0526,172.69,0.4407,0.0124,1946.754,6,poor,1,1,1,1,0,1,1,0,4,26,41,639,0.628
2,left,51.97,0.385,51.97,44.30,18.82,81.66,22.85,0.1147,174.58,0.6364,0.0331,479.757,7,poor,1,1,1,1,1,1,1,0,48,52,73,502,0.540
3,left,102.65,0.760,102.65,66.32,157.41,138.87,3.13,0.0640,0.00,0.1893,0.0167,2394.969,3,fair,1,1,1,0,0,0,0,0,90,94,111,366,0.000
4,left,132.68,0.983,132.68,20.31,156.11,129.18,1.45,0.0430,178.59,0.1931,0.0139,2491.753,4,poor,1,1,1,0,0,1,0,0,123,128,131,136,0.000
5,left,116.03,0.859,116.03,18.57,158.92,128.95,2.18,0.0454,176.34,0.1393,0.0141,3086.979,4,poor,1,1,1,0,0,1,0,0,190,195,202,198,0.000
6,left,140.69,1.042,140.69,116.68,155.10,124.91,1.79,0.0592,0.00,0.1813,0.0167,3516.507,3,fair,1,1,1,0,0,0,0,0,215,219,230,270,0.000
1,right,173.48,1.285,173.48,27.71,157.03,126.28,2.57,0.0228,178.60,0.0591,0.0097,3923.410,4,poor,1,1,1,0,0,1,0,0,4,6,14,168,0.000
2,right,176.62,1.308,176.62,165.96,148.95,141.58,8.10,0.0712,0.50,0.4134,0.0214,3938.956,5,poor,1,1,1,1,0,0,1,0,78,89,97,329,0.060
3,right,147.14,1.090,147.14,109.73,19.79,77.85,27.82,0.2696,178.35,1.6141,0.0508,1531.885,8,poor,1,1,1,1,1,1,1,1,100,234,254,7470,0.660
1,left,74.63,0.553,74.63,38.44,15.71,70.65,20.06,0.0502,152.98,0.7464,0.0154,1361.610,5,poor,1,1,0,1,0,1,1,0,14,20,28,254,0.704
2,left,89.65,0.664,89.65,30.54,13.18,54.02,18.69,0.0366,173.14,0.9385,0.0116,1998.275,6,poor,1,1,0,1,1,1,1,0,44,50,58,910,0.643
3,left,51.74,0.383,51.74,33.88,19.05,79.31,23.89,0.0570,179.56,0.9808,0.0196,1085.264,5,poor,1,1,0,1,0,1,1,0,60,65,79,323,0.705
4,left,153.89,1.140,153.89,63.50,18.59,78.88,21.72,0.0910,173.17,0.8105,0.0213,1911.559,4,poor,1,1,0,1,0,0,1,0,88,155,179,2186,0.794
5,left,139.38,1.032,139.38,76.06,18.58,70.26,18.89,0.0424,176.80,0.8165,0.0206,1523.401,5,poor,1,1,0,1,0,1,1,0,182,198,251,1737,0.763
1,right,110.19,0.816,110.19,51.45,16.63,87.29,17.89,0.0583,175.76,1.0426,0.0190,1213.367,5,poor,1,1,0,1,0,1,1,0,8,19,49,825,0.608
2,right,113.65,0.842,113.65,66.33,11.95,83.15,17.52,0.0642,167.77,1.0309,0.0221,1190.039,6,poor,1,1,0,1,1,1,1,0,75,80,85,182,0.583
3,right,108.59,0.804,108.59,53.02,13.60,86.72,22.35,0.0866,172.49,1.1807,0.0244,1238.351,5,poor,1,1,0,1,0,1,1,0,86,102,109,429,0.543
4,right,130.71,0.968,130.71,11.72,45.12,88.17,21.91,0.1091,108.74,1.4989,0.0399,669.393,5,poor,1,1,0,1,0,1,1,0,112,118,123,446,0.470
5,right,110.45,0.818,110.45,78.49,13.99,84.80,24.66,0.0554,170.31,1.0934,0.0190,1459.981,5,poor,1,1,0,1,0,1,1,0,127,132,147,498,0.538
