rep_id,side,depth_deg,rom_ratio,fppa_peak,fppa_at_depth,trunk_lean_peak,trunk_flex_peak,pelvic_drop_peak,pelvic_shift_peak,hip_adduction_peak,knee_offset_peak,sway_norm,smoothness,errors_count,classification,err_knee_valgus,err_trunk_lean,err_trunk_flex,err_pelvic_drop,err_pelvic_shift,err_hip_adduction,err_knee_over_foot,err_balance,start_frame,bottom_frame,end_frame,duration_ms,confidence
1,right,126.79,1.057,126.79,112.78,1.72,73.03,3.14,0.0121,144.86,0.3431,0.0062,386.725,4,poor,1,0,1,0,0,1,1,0,53,78,102,853,0.989
2,right,98.59,0.822,98.59,97.30,2.34,75.02,4.69,0.0084,156.83,0.1885,0.0045,179.293,3,fair,1,0,1,0,0,1,0,0,222,264,298,1279,0.992
3,right,109.67,0.914,109.67,105.04,1.66,73.42,6.29,0.0092,169.17,0.4261,0.0050,229.367,5,poor,1,0,1,1,0,1,1,0,441,477,532,1566,0.991
4,right,113.67,0.947,113.67,113.31,2.24,74.31,4.39,0.0051,159.56,0.3813,0.0026,213.998,4,poor,1,0,1,0,0,1,1,0,712,742,791,1346,0.991
5,right,111.11,0.926,111.11,108.29,3.26,71.50,3.33,0.0153,157.89,0.3381,0.0052,264.489,4,poor,1,0,1,0,0,1,1,0,946,984,1013,1157,0.990
6,right,106.46,0.887,106.46,102.33,2.74,74.83,3.12,0.0040,156.05,0.2948,0.0022,209.477,4,poor,1,0,1,0,0,1,1,0,1200,1233,1275,1273,0.992
